date,pickup_date_count,scheduled_date_count,month,day_of_week,quarter,day_of_year,week_of_year,pickup_date_count_lag_7,scheduled_date_count_7,pickup_date_count_lag_14,scheduled_date_count_14,pickup_date_count_lag_21,scheduled_date_count_21
2023-12-13,21,20,12,2,4,347,50,33.0,43.0,31.0,32.0,25.0,25.0
2023-12-14,44,59,12,3,4,348,50,32.0,41.0,41.0,44.0,39.0,38.0
2023-12-15,0,18,12,4,4,349,50,0.0,1.0,0.0,7.0,0.0,2.0
2023-12-16,0,13,12,5,4,350,50,0.0,13.0,0.0,1.0,0.0,3.0
2023-12-17,0,0,12,6,4,351,50,0.0,0.0,0.0,0.0,0.0,1.0
2023-12-18,46,40,12,0,4,352,51,32.0,33.0,51.0,68.0,80.0,80.0
2023-12-19,35,35,12,1,4,353,51,29.0,25.0,41.0,27.0,36.0,36.0
2023-12-20,38,51,12,2,4,354,51,21.0,20.0,33.0,43.0,31.0,32.0
2023-12-21,30,29,12,3,4,355,51,44.0,59.0,32.0,41.0,41.0,44.0
2023-12-22,0,12,12,4,4,356,51,0.0,18.0,0.0,1.0,0.0,7.0
2023-12-23,0,23,12,5,4,357,51,0.0,13.0,0.0,13.0,0.0,1.0
2023-12-24,0,1,12,6,4,358,51,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-25,0,1,12,0,4,359,52,46.0,40.0,32.0,33.0,51.0,68.0
2023-12-26,0,2,12,1,4,360,52,35.0,35.0,29.0,25.0,41.0,27.0
2023-12-27,68,65,12,2,4,361,52,38.0,51.0,21.0,20.0,33.0,43.0
2023-12-28,45,56,12,3,4,362,52,30.0,29.0,44.0,59.0,32.0,41.0
2023-12-29,0,18,12,4,4,363,52,0.0,12.0,0.0,18.0,0.0,1.0
2023-12-30,0,3,12,5,4,364,52,0.0,23.0,0.0,13.0,0.0,13.0
2023-12-31,0,0,12,6,4,365,52,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-01,0,3,1,0,1,1,1,0.0,1.0,46.0,40.0,32.0,33.0
